Chromosome,Bin,geneDensity
BhD1,46850001-46875000,0.3682
BhD1,46875001-46900000,0.86492
BhD1,46900001-46925000,0.22716
BhD1,46925001-46950000,0.19136
BhD1,46950001-46975000,0.0978
BhD1,46975001-47000000,0.40176
BhD1,47000001-47025000,0.42928
BhD1,47025001-47050000,0.64764
BhD1,47050001-47075000,0.41036
BhD1,47075001-47100000,0.28836
BhD1,47100001-47125000,0.36072
BhD1,47125001-47150000,0.7636
BhD1,47150001-47175000,0.45376
BhD1,47175001-47200000,0.22876
BhD1,47200001-47225000,0.75152
BhD1,47225001-47250000,0.53604
BhD1,47250001-47275000,0.15412
BhD1,47275001-47300000,0.70428
BhD1,47300001-47325000,0.65744
BhD1,47325001-47350000,0.77032
BhD1,47350001-47375000,0.20932
BhD1,47375001-47400000,0.15892
BhD1,47400001-47425000,0.2112
BhD1,47425001-47450000,0.53544
BhD1,47450001-47475000,0.12944
BhD1,47475001-47500000,0.32652
BhD1,47500001-47525000,0.38248
BhD1,47525001-47550000,0.57968
BhD1,47550001-47575000,0.58312
BhD1,47575001-47600000,0.47044
BhD1,47600001-47625000,0.39016
BhD1,47625001-47650000,0.13524
BhD1,47650001-47675000,0.53956
BhD1,47675001-47700000,0.0904
BhD1,47700001-47725000,0.33072
BhD1,47725001-47750000,0.14956
BhD1,47750001-47775000,0.42836
BhD1,47775001-47800000,0.79372
BhD1,47800001-47825000,0.56952
BhD1,47825001-47850000,0.38268
BhD1,47850001-47875000,0.2892
BhD1,47875001-47900000,0.59548
BhD1,47900001-47925000,0.59284
BhD1,47925001-47950000,0.42532
BhD1,47950001-47975000,0.06768
BhD1,47975001-48000000,0.0706
BhD1,48000001-48025000,0.27112
BhD1,48025001-48050000,0.64472
BhD1,48050001-48075000,0
BhD1,48075001-48100000,0
BhD1,48100001-48125000,0.05436
BhD1,48125001-48150000,0.4216
BhD1,48150001-48175000,0.51972
BhD1,48175001-48200000,0.63868
BhD1,48200001-48225000,0.7598
BhD1,48225001-48250000,0.2522
BhD1,48250001-48275000,0.1796
BhD1,48275001-48300000,0.47664
BhD1,48300001-48325000,0.30732
BhD1,48325001-48350000,0.58832
BhD1,48350001-48375000,0.60284
BhD1,48375001-48400000,0.7062
BhD1,48400001-48425000,0.60316
BhD1,48425001-48450000,0.23168
BhD1,48450001-48475000,0.52732
BhD1,48475001-48500000,0.30572
BhD1,48500001-48525000,0.5856
BhD1,48525001-48550000,0.24848
BhD1,48550001-48575000,0.34492
BhD1,48575001-48600000,0.34924
BhD1,48600001-48625000,0.5018
BhD1,48625001-48650000,0.07128
BhD1,48650001-48675000,0.97752
BhD1,48675001-48700000,0.20704
BhD1,48700001-48725000,0.36444
BhD1,48725001-48750000,0.55804
BhD1,48750001-48775000,0.35808
BhD1,48775001-48800000,0.4328
BhD1,48800001-48825000,0.1688
BhD1,48825001-48850000,0.50368
BhD1,48850001-48875000,0.41396
BhD1,48875001-48900000,0.53308
BhD1,48900001-48925000,0.502
BhD1,48925001-48950000,0.20964
BhD1,48950001-48975000,0.54516
BhD1,48975001-49000000,0.6062
BhD1,49000001-49025000,0.2414
BhD1,49025001-49050000,0.73288
BhD1,49050001-49075000,0.64984
BhD1,49075001-49100000,0.24744
BhD1,49100001-49125000,0.4388
BhD1,49125001-49150000,0.17304
BhD1,49150001-49175000,0.52908
BhD1,49175001-49200000,0.1126
BhD1,49200001-49225000,0.32004
BhD1,49225001-49250000,0.86124
BhD1,49250001-49275000,0.6994
BhD1,49275001-49300000,0.76168
BhD1,49300001-49325000,0.15432
BhD1,49325001-49350000,0.76704
BhD1,49350001-49375000,0.40048
BhD1,49375001-49400000,0.69976
BhD1,49400001-49425000,0.17676
BhD1,49425001-49450000,0.56368
BhD1,49450001-49475000,0.6384
BhD1,49475001-49500000,0.15344
BhD1,49500001-49525000,0.0842
BhD1,49525001-49550000,0.58984
BhD1,49550001-49575000,0.64644
BhD1,49575001-49600000,0.49476
BhD1,49600001-49625000,0.54192
BhD1,49625001-49650000,0.82412
BhD1,49650001-49675000,0.87752
BhD1,49675001-49700000,0.69064
BhD1,49700001-49725000,0.55496
BhD1,49725001-49750000,0.62012
BhD1,49750001-49775000,0.41932
BhD1,49775001-49800000,0.82868
BhD1,49800001-49825000,0.577
BhD1,49825001-49850000,0.12392
BhD1,49850001-49875000,0.57064
BhD1,49875001-49900000,0.84604
BhD1,49900001-49925000,0.56992
BhD1,49925001-49950000,0.31
BhD1,49950001-49975000,0.71212
BhD1,49975001-50000000,0.5466
BhD1,50000001-50025000,0.54144
BhD1,50025001-50050000,0.65948
BhD1,50050001-50075000,0.76316
BhD1,50075001-50100000,0.5756
BhD1,50100001-50125000,0.64948
BhD1,50125001-50150000,0.4332
BhD1,50150001-50175000,0.13284
BhD1,50175001-50200000,0.06632
BhD1,50200001-50225000,0
BhD1,50225001-50250000,0
BhD1,50250001-50275000,0.06876
BhD1,50275001-50300000,0.1256
BhD1,50300001-50325000,0.24716
BhD1,50325001-50350000,0
BhD1,50350001-50375000,0
BhD1,50375001-50400000,0.28812
BhD1,50400001-50425000,0.16096
BhD1,50425001-50450000,0.64956
BhD1,50450001-50475000,0.61644
BhD1,50475001-50500000,0.64904
BhD1,50500001-50525000,0.3248
BhD1,50525001-50550000,0.4826
BhD1,50550001-50575000,0.1804
BhD1,50575001-50600000,0.65356
BhD1,50600001-50625000,0.4188
BhD1,50625001-50650000,0.09192
BhD1,50650001-50675000,0.35664
BhD1,50675001-50700000,0.33076
BhD1,50700001-50725000,0.66428
BhD1,50725001-50750000,0.6164
BhD1,50750001-50775000,0.30628
BhD1,50775001-50800000,0.6028
BhD1,50800001-50825000,0.13432
BhD1,50825001-50850000,0.67344
BhD1,50850001-50875000,0.67092
BhD1,50875001-50900000,0.52652
BhD1,50900001-50925000,0.5122
BhD1,50925001-50950000,0.20668
BhD1,50950001-50975000,0.08108
BhD1,50975001-51000000,0.52476
BhD1,51000001-51025000,0.18808
BhD1,51025001-51050000,0.32996
BhD1,51050001-51075000,0.47704
BhD1,51075001-51100000,0.02912
BhD1,51100001-51125000,0.112
BhD1,51125001-51150000,0.33756
BhD1,51150001-51175000,0.66472
BhD1,51175001-51200000,0.10872
BhD1,51200001-51225000,0
BhD1,51225001-51250000,0.09964
BhD1,51250001-51275000,0.60568
BhD1,51275001-51300000,0.48288
BhD1,51300001-51325000,0.39448
BhD1,51325001-51350000,0.28952
BhD1,51350001-51375000,0.49512
BhD1,51375001-51400000,0.63692
BhD1,51400001-51425000,0.43612
BhD1,51425001-51450000,0.06756
BhD1,51450001-51475000,0.12116
BhD1,51475001-51500000,0.352
BhD1,51500001-51525000,0.37816
BhD1,51525001-51550000,0.52992
BhD1,51550001-51575000,0.55316
BhD1,51575001-51600000,0.78992
BhD1,51600001-51625000,0.46212
BhD1,51625001-51650000,0.23288
BhD1,51650001-51675000,0.44372
BhD1,51675001-51700000,0.55412
BhD1,51700001-51725000,0.63228
BhD1,51725001-51750000,0.34816
BhD1,51750001-51775000,0.4298
BhD1,51775001-51800000,0.51876
BhD1,51800001-51825000,0.5734
BhD1,51825001-51850000,0.31164
BhD1,51850001-51875000,0.2274
BhD1,51875001-51900000,0.45468
BhD1,51900001-51925000,0.41088
BhD1,51925001-51950000,0.35616
BhD1,51950001-51975000,0.30244
BhD1,51975001-52000000,0.65176
BhD1,52000001-52025000,0.35604
BhD1,52025001-52050000,0.46756
BhD1,52050001-52075000,0.49992
BhD1,52075001-52100000,0.4872
BhD1,52100001-52125000,0.24536
BhD1,52125001-52150000,0.07428
BhD1,52150001-52175000,0.77508
BhD1,52175001-52200000,0.78672
BhD1,52200001-52225000,0.33184
BhD1,52225001-52250000,0.11712
BhD1,52250001-52275000,0
BhD1,52275001-52300000,0.83972
BhD1,52300001-52325000,0.77188
BhD1,52325001-52350000,0.44924
BhD1,52350001-52375000,0.29836
BhD1,52375001-52400000,0.51884
BhD1,52400001-52425000,0.52012
BhD1,52425001-52450000,0.13196
BhD1,52450001-52475000,0.5168
BhD1,52475001-52500000,0.41088
BhD1,52500001-52525000,0.39036
BhD1,52525001-52550000,0.65836
BhD1,52550001-52575000,0.3574
BhD1,52575001-52600000,0.03408
BhD1,52600001-52625000,0.48996
BhD1,52625001-52650000,0.21196
BhD1,52650001-52675000,0.55068
BhD1,52675001-52700000,0.47988
BhD1,52700001-52725000,0.52672
BhD1,52725001-52750000,0.55444
BhD1,52750001-52775000,0.34348
BhD1,52775001-52800000,0.26956
BhD1,52800001-52825000,0.51752
BhD1,52825001-52850000,0.19072
BhD1,52850001-52875000,0.47224
BhD1,52875001-52900000,0.61268
BhD1,52900001-52925000,0.61156
BhD1,52925001-52950000,0.25212
BhD1,52950001-52975000,0.63044
BhD1,52975001-53000000,0.15528
BhD1,53000001-53025000,0.14364
BhD1,53025001-53050000,0.82468
BhD1,53050001-53075000,0.07484
BhD1,53075001-53100000,0.66896
BhD1,53100001-53125000,0.58464
BhD1,53125001-53150000,0.04872
BhD1,53150001-53175000,0.33548
BhD1,53175001-53200000,0.78152
BhD1,53200001-53225000,0.62772
BhD1,53225001-53250000,0.34276
BhD1,53250001-53275000,0.14492
BhD1,53275001-53300000,0.29004
BhD1,53300001-53325000,0.30084
BhD1,53325001-53350000,0.25192
BhD1,53350001-53375000,0.55296
BhD1,53375001-53400000,0.10796
BhD1,53400001-53425000,0.06512
BhD1,53425001-53450000,0.32924
BhD1,53450001-53475000,0
BhD1,53475001-53500000,0.23912
BhD1,53500001-53525000,0.1982
BhD1,53525001-53550000,0.07788
BhD1,53550001-53575000,0.12516
BhD1,53575001-53600000,0.29684
BhD1,53600001-53625000,0.29516
BhD1,53625001-53650000,0.1688
BhD1,53650001-53675000,0.0298
BhD1,53675001-53700000,0.6542
BhD1,53700001-53725000,0.46132
BhD1,53725001-53750000,0.4522
BhD1,53750001-53775000,0.50516
BhD1,53775001-53800000,0.48016
BhD1,53800001-53825000,0.32416
BhD1,53825001-53850000,0.4874
BhD1,53850001-53875000,0.21044
BhD1,53875001-53900000,0.42332
BhD1,53900001-53925000,0.34052
BhD1,53925001-53950000,0.73228
BhD1,53950001-53975000,0.1824
BhD1,53975001-54000000,0.05116
BhD1,54000001-54025000,0.35704
BhD1,54025001-54050000,0.20556
BhD1,54050001-54075000,0.50128
BhD1,54075001-54100000,0.45084
BhD1,54100001-54125000,0.34332
BhD1,54125001-54150000,0.44884
BhD1,54150001-54175000,0
BhD1,54175001-54200000,0.24448
BhD1,54200001-54225000,0.52844
BhD1,54225001-54250000,0.78552
BhD1,54250001-54275000,0.18848
BhD1,54275001-54300000,0.4354
BhD1,54300001-54325000,0.72184
BhD1,54325001-54350000,0.73248
BhD1,54350001-54375000,0.83592
BhD1,54375001-54400000,0.36952
BhD1,54400001-54425000,0.1402
BhD1,54425001-54450000,0.32216
BhD1,54450001-54475000,0.90088
BhD1,54475001-54500000,0.22136
BhD1,54500001-54525000,0.02312
BhD1,54525001-54550000,0
BhD1,54550001-54575000,0.42564
BhD1,54575001-54600000,0.83204
BhD1,54600001-54625000,0.52756
BhD1,54625001-54650000,0.60664
BhD1,54650001-54675000,0.41384
BhD1,54675001-54700000,0.3464
BhD1,54700001-54725000,0.08212
BhD1,54725001-54750000,0.47024
BhD1,54750001-54775000,0.50484
BhD1,54775001-54800000,0.25664
BhD1,54800001-54825000,0.30392
BhD1,54825001-54850000,0.30136
BhD1,54850001-54875000,0.12076
BhD1,54875001-54900000,0.23744
BhD1,54900001-54925000,0.22264
BhD1,54925001-54950000,0.12404
BhD1,54950001-54975000,0.07216
BhD1,54975001-55000000,0.07304
BhD1,55000001-55025000,0.21376
BhD1,55025001-55050000,0.59884
BhD1,55050001-55075000,0.57356
BhD1,55075001-55100000,0.7632
BhD1,55100001-55125000,0.27556
BhD1,55125001-55150000,0.52944
BhD1,55150001-55175000,0.45712
BhD1,55175001-55200000,0.21312
BhD1,55200001-55225000,0.20172
BhD1,55225001-55250000,0.24508
BhD1,55250001-55275000,0.6198
BhD1,55275001-55300000,0.59772
BhD1,55300001-55325000,0.57348
BhD1,55325001-55350000,0.38848
BhD1,55350001-55375000,0.4276
BhD1,55375001-55400000,0.24044
BhD1,55400001-55425000,0.24428
BhD1,55425001-55450000,0
BhD1,55450001-55475000,0.045
BhD1,55475001-55500000,0.21468
BhD1,55500001-55525000,0.18196
BhD1,55525001-55550000,0.172
BhD1,55550001-55575000,0.30676
BhD1,55575001-55600000,0.6842
BhD1,55600001-55625000,0.1176
BhD1,55625001-55650000,0.21264
BhD1,55650001-55675000,0.01284
BhD1,55675001-55700000,0.2436
BhD1,55700001-55725000,0.01332
BhD1,55725001-55750000,0
BhD1,55750001-55775000,0.31844
BhD1,55775001-55800000,0.52828
BhD1,55800001-55825000,0.21292
BhD1,55825001-55850000,0.05424
BhD1,55850001-55875000,0.45576
BhD1,55875001-55900000,0.45328
BhD1,55900001-55925000,0.58116
BhD1,55925001-55950000,0.26096
BhD1,55950001-55975000,0.10828
BhD1,55975001-56000000,0.48788
BhD1,56000001-56025000,0.67596
BhD1,56025001-56050000,0.70056
BhD1,56050001-56075000,0.38272
BhD1,56075001-56100000,0.86968
BhD1,56100001-56125000,0.61652
BhD1,56125001-56150000,0.74784
BhD1,56150001-56175000,0.2392
BhD1,56175001-56200000,0.16288
BhD1,56200001-56225000,0.35588
BhD1,56225001-56250000,0.50252
BhD1,56250001-56275000,0.48072
BhD1,56275001-56300000,0.18576
BhD1,56300001-56325000,0.05532
BhD1,56325001-56350000,0.2112
BhD1,56350001-56375000,0
BhD1,56375001-56400000,0.0256
BhD1,56400001-56425000,0.25712
BhD1,56425001-56450000,0.41176
BhD1,56450001-56475000,0.41316
BhD1,56475001-56500000,0.44804
BhD1,56500001-56525000,0.20864
BhD1,56525001-56550000,0.15988
BhD1,56550001-56575000,0.48408
BhD1,56575001-56600000,0.29892
BhD1,56600001-56625000,0.01164
BhD1,56625001-56650000,0
BhD1,56650001-56675000,0
BhD1,56675001-56700000,0
BhD1,56700001-56725000,0.46728
BhD1,56725001-56750000,0.18324
BhD1,56750001-56775000,0.45032
BhD1,56775001-56800000,0.2856
BhD1,56800001-56825000,0.45648
BhD1,56825001-56850000,0.37364
BhD1,56850001-56875000,0.24284
BhD1,56875001-56900000,0.41364
BhD1,56900001-56925000,0.62524
BhD1,56925001-56950000,0.37556
BhD1,56950001-56975000,0.4314
BhD1,56975001-57000000,0.31708
BhD1,57000001-57025000,0.61184
BhD1,57025001-57050000,0.41724
BhD1,57050001-57075000,0.0654
BhD1,57075001-57100000,0.40392
BhD1,57100001-57125000,0.41608
BhD1,57125001-57150000,0.26676
BhD1,57150001-57175000,0.20132
BhD1,57175001-57200000,0.24328
BhD1,57200001-57225000,0.01344
BhD1,57225001-57250000,0.543
BhD1,57250001-57275000,0.67228
BhD1,57275001-57300000,0.44448
BhD1,57300001-57325000,0.59832
BhD1,57325001-57350000,0.77916
BhD1,57350001-57375000,0.29892
BhD1,57375001-57400000,0.62136
BhD1,57400001-57425000,0.7546
BhD1,57425001-57450000,0.61384
BhD1,57450001-57475000,0.33664
BhD1,57475001-57500000,0.32572
BhD1,57500001-57525000,0.03444
BhD1,57525001-57550000,0.37548
BhD1,57550001-57575000,0.7142
BhD1,57575001-57600000,0.70304
BhD1,57600001-57625000,0.41616
BhD1,57625001-57650000,0.49508
BhD1,57650001-57675000,0.51152
BhD1,57675001-57700000,0.60352
BhD1,57700001-57725000,0.42448
BhD1,57725001-57750000,0.37
BhD1,57750001-57775000,0.09536
BhD1,57775001-57800000,0
BhD1,57800001-57825000,0.21468
BhD1,57825001-57850000,0.53128
BhD1,57850001-57875000,0.10764
BhD1,57875001-57900000,0.22532
BhD1,57900001-57925000,0.05676
BhD1,57925001-57950000,0.68536
BhD1,57950001-57975000,0.01776
BhD1,57975001-58000000,0.17972
BhD1,58000001-58025000,0.21856
BhD1,58025001-58050000,0
BhD1,58050001-58075000,0.05344
BhD1,58075001-58100000,0.46192
BhD1,58100001-58125000,0.02532
BhD1,58125001-58150000,0
BhD1,58150001-58175000,0
BhD1,58175001-58200000,0.22232
BhD1,58200001-58225000,0.28408
BhD1,58225001-58250000,0.612
BhD1,58250001-58275000,0.57848
BhD1,58275001-58300000,0.16328
BhD1,58300001-58325000,0.3036
BhD1,58325001-58350000,0.10632
BhD1,58350001-58375000,0.34152
BhD1,58375001-58400000,0.03624
BhD1,58400001-58425000,0.226
BhD1,58425001-58450000,0.54836
BhD1,58450001-58475000,0.28856
BhD1,58475001-58500000,0.51224
BhD1,58500001-58525000,0.27336
BhD1,58525001-58550000,0.47952
BhD1,58550001-58575000,0.50772
BhD1,58575001-58600000,0.18952
BhD1,58600001-58625000,0.23968
BhD1,58625001-58650000,0.4666
BhD1,58650001-58675000,0.2384
BhD1,58675001-58700000,0.23764
BhD1,58700001-58725000,0.41172
BhD1,58725001-58750000,0.78044
BhD1,58750001-58775000,0.64424
BhD1,58775001-58800000,0.55112
BhD1,58800001-58825000,0.72692
BhD1,58825001-58850000,0.71064
BhD1,58850001-58875000,0.04664
BhD1,58875001-58900000,0.13528
BhD1,58900001-58925000,0.673
BhD1,58925001-58950000,0.29776
BhD1,58950001-58975000,0.14064
BhD1,58975001-59000000,0.21452
BhD1,59000001-59025000,0.42048
BhD1,59025001-59050000,0.38452
BhD1,59050001-59075000,0.50104
BhD1,59075001-59100000,0.261
BhD1,59100001-59125000,0.52128
BhD1,59125001-59150000,0.64812
BhD1,59150001-59175000,0.18484
BhD1,59175001-59200000,0.565
BhD1,59200001-59225000,0.37708
BhD1,59225001-59250000,0.18804
BhD1,59250001-59275000,0.20304
BhD1,59275001-59300000,0.54072
BhD1,59300001-59325000,0.438
BhD1,59325001-59350000,0.12372
BhD1,59350001-59375000,0.77988
BhD1,59375001-59400000,0.6116
BhD1,59400001-59425000,0.36776
BhD1,59425001-59450000,0.58372
BhD1,59450001-59475000,0.36504
BhD1,59475001-59500000,0.62164
BhD1,59500001-59525000,0.23948
BhD1,59525001-59550000,0.04196
BhD1,59550001-59575000,0.14276
BhD1,59575001-59600000,0.52648
BhD1,59600001-59625000,0.32444
BhD1,59625001-59650000,0.44372
BhD1,59650001-59675000,0.50116
BhD1,59675001-59700000,0.4506
BhD1,59700001-59725000,0.1006
BhD1,59725001-59750000,0.22428
BhD1,59750001-59775000,0.61456
BhD1,59775001-59800000,0.2922
BhD1,59800001-59825000,0.619
BhD1,59825001-59850000,0.28148
BhD1,59850001-59875000,0.69488
BhD1,59875001-59900000,0.60708
BhD1,59900001-59925000,0.39044
BhD1,59925001-59950000,0.36056
BhD1,59950001-59975000,0.12048
BhD1,59975001-60000000,0.70036
BhD1,60000001-60025000,0.64628
BhD1,60025001-60050000,0.19464
BhD1,60050001-60075000,0.61868
BhD1,60075001-60100000,0.62308
BhD1,60100001-60125000,0.4416
BhD1,60125001-60150000,0.52764
BhD1,60150001-60175000,0.76972
BhD1,60175001-60200000,0.61364
BhD1,60200001-60225000,0.74984
BhD1,60225001-60250000,0.68976
BhD1,60250001-60275000,0.81044
BhD1,60275001-60300000,0.79976
BhD1,60300001-60325000,0.49296
BhD1,60325001-60350000,0.37796
BhD1,60350001-60375000,0.16724
BhD1,60375001-60400000,0.6172
BhD1,60400001-60425000,0.54888
BhD1,60425001-60450000,0.62788
BhD1,60450001-60475000,0.77944
BhD1,60475001-60500000,0.77376
BhD1,60500001-60525000,0.51124
BhD1,60525001-60550000,0.29356
BhD1,60550001-60575000,0.58256
BhD1,60575001-60600000,0.30684
BhD1,60600001-60625000,0.56304
BhD1,60625001-60650000,0.40888
BhD1,60650001-60675000,0.36596
BhD1,60675001-60700000,0.42504
BhD1,60700001-60725000,0.50792
BhD1,60725001-60750000,0.53928
BhD1,60750001-60775000,0.61504
BhD1,60775001-60800000,0.64116
BhD1,60800001-60825000,0.74192
BhD1,60825001-60850000,0.11452
BhD1,60850001-60875000,0.29348
BhD1,60875001-60900000,0.8352
BhD1,60900001-60925000,0.29256
BhD1,60925001-60950000,0.5832
BhD1,60950001-60975000,0.43356
BhD1,60975001-61000000,0.30972
BhD1,61000001-61025000,0.17944
BhD1,61025001-61050000,0.4094
BhD1,61050001-61075000,0.84284
BhD1,61075001-61100000,0.31352
BhD1,61100001-61125000,0.42256
BhD1,61125001-61150000,0.46228
BhD1,61150001-61175000,0
BhD1,61175001-61200000,0.17072
BhD1,61200001-61225000,0.534
BhD1,61225001-61250000,0.60512
BhD1,61250001-61275000,0.172
BhD1,61275001-61300000,0.46376
BhD1,61300001-61325000,0.7744
BhD1,61325001-61350000,0.32948
BhD1,61350001-61375000,0.53208
BhD1,61375001-61400000,0.5278
BhD1,61400001-61425000,0.74912
BhD1,61425001-61450000,0.76536
BhD1,61450001-61475000,0.70348
BhD1,61475001-61500000,0.49032
BhD1,61500001-61525000,0.42476
BhD1,61525001-61550000,0.8082
BhD1,61550001-61575000,0.22464
BhD1,61575001-61600000,0.445
BhD1,61600001-61625000,0.57472
BhD1,61625001-61650000,0.52932
BhD1,61650001-61675000,0.495
BhD1,61675001-61700000,0.26576
BhD1,61700001-61725000,0.1044
BhD1,61725001-61750000,0.08016
BhD1,61750001-61775000,0.14612
BhD1,61775001-61800000,0.47076
BhD1,61800001-61825000,0.04752
BhD1,61825001-61850000,0.14724
BhD1,61850001-61875000,0.28288
BhD1,61875001-61900000,0.46616
BhD1,61900001-61925000,0.28432
BhD1,61925001-61950000,0.37256
BhD1,61950001-61975000,0
BhD1,61975001-62000000,0.36332
BhD1,62000001-62025000,0.05584
BhD1,62025001-62050000,0.75996
BhD1,62050001-62075000,0.66288
BhD1,62075001-62100000,0.49568
BhD1,62100001-62125000,0.35268
BhD1,62125001-62150000,0.58408
BhD1,62150001-62175000,0.2122
BhD1,62175001-62200000,0.45652
BhD1,62200001-62225000,0.60404
BhD1,62225001-62250000,0.3656
BhD1,62250001-62275000,0.26728
BhD1,62275001-62300000,0.45488
BhD1,62300001-62325000,0.59112
BhD1,62325001-62350000,0.43308
BhD1,62350001-62375000,0.16816
BhD1,62375001-62400000,0.3844
BhD1,62400001-62425000,0.7188
BhD1,62425001-62450000,0.35544
BhD1,62450001-62475000,0.523
BhD1,62475001-62500000,0.64316
BhD1,62500001-62525000,0.7448
BhD1,62525001-62550000,0.73548
BhD1,62550001-62575000,0.23252
BhD1,62575001-62600000,0.12268
BhD1,62600001-62625000,0.64048
BhD1,62625001-62650000,0.573
BhD1,62650001-62675000,0.12948
BhD1,62675001-62700000,0.54272
BhD1,62700001-62725000,0.60644
BhD1,62725001-62750000,0.1686
BhD1,62750001-62775000,0.14264
BhD1,62775001-62800000,0.55588
BhD1,62800001-62825000,0.20632
BhD1,62825001-62850000,0.25884
BhD1,62850001-62875000,0.39772
BhD1,62875001-62900000,0.7268
BhD1,62900001-62925000,0.295
BhD1,62925001-62950000,0.10948
BhD1,62950001-62975000,0.09508
BhD1,62975001-63000000,0.48664
BhD1,63000001-63025000,0.04292
BhD1,63025001-63050000,0.54736
BhD1,63050001-63075000,0.14808
BhD1,63075001-63100000,0.69136
BhD1,63100001-63125000,0.48584
BhD1,63125001-63150000,0.41064
BhD1,63150001-63175000,0.564
BhD1,63175001-63200000,0.48356
BhD1,63200001-63225000,0.5088
BhD1,63225001-63250000,0.16216
BhD1,63250001-63275000,0.53448
BhD1,63275001-63300000,0.60208
BhD1,63300001-63325000,0.67608
BhD1,63325001-63350000,0.75388
BhD1,63350001-63375000,0.54812
BhD1,63375001-63400000,0.54856
BhD1,63400001-63425000,0.4248
BhD1,63425001-63450000,0.22776
BhD1,63450001-63475000,0.55976
BhD1,63475001-63500000,0.7842
BhD1,63500001-63525000,0.44652
BhD1,63525001-63550000,0.67896
BhD1,63550001-63575000,0.76604
BhD1,63575001-63600000,0.38088
BhD1,63600001-63625000,0.30024
BhD1,63625001-63650000,0.11884
BhD1,63650001-63675000,0.54848
BhD1,63675001-63700000,0.47468
BhD1,63700001-63725000,0.84336
BhD1,63725001-63750000,0.72284
BhD1,63750001-63775000,0.72752
BhD1,63775001-63800000,0.69356
BhD1,63800001-63825000,0.40012
BhD1,63825001-63850000,0.533
BhD1,63850001-63875000,0.48952
BhD1,63875001-63900000,0.56696
BhD1,63900001-63925000,0.66628
BhD1,63925001-63950000,0.19324
BhD1,63950001-63975000,0.62776
BhD1,63975001-64000000,0.61464
BhD1,64000001-64025000,0.5632
BhD1,64025001-64050000,0.72992
BhD1,64050001-64075000,0.43956
BhD1,64075001-64100000,0.52488
BhD1,64100001-64125000,0.55632
BhD1,64125001-64150000,0.5284
BhD1,64150001-64175000,0.38564
BhD1,64175001-64200000,0.5612
BhD1,64200001-64225000,0.38496
BhD1,64225001-64250000,0.36236
BhD1,64250001-64275000,0.1732
BhD1,64275001-64300000,0.445
BhD1,64300001-64325000,0.48776
BhD1,64325001-64350000,0.48664
BhD1,64350001-64375000,0.32676
BhD1,64375001-64400000,0.24648
BhD1,64400001-64425000,0.18456
BhD1,64425001-64450000,0.2142
BhD1,64450001-64475000,0.49436
BhD1,64475001-64500000,0.63564
BhD1,64500001-64525000,0.597
BhD1,64525001-64550000,0.4566
BhD1,64550001-64575000,0.59716
BhD1,64575001-64600000,0.34104
BhD1,64600001-64625000,0.52764
BhD1,64625001-64650000,0.6214
BhD1,64650001-64675000,0.3224
BhD1,64675001-64700000,0.77152
BhD1,64700001-64725000,0.3988
BhD1,64725001-64750000,0.8162
BhD1,64750001-64775000,0.57436
BhD1,64775001-64800000,0.91536
BhD1,64800001-64825000,0.52892
BhD1,64825001-64850000,0.47332
BhD1,64850001-64875000,0.50732
BhD1,64875001-64900000,0.67728
BhD1,64900001-64925000,0.1624
BhD1,64925001-64950000,0.81312
BhD1,64950001-64975000,0.57784
BhD1,64975001-65000000,0.4306
BhD1,65000001-65025000,0.37568
BhD1,65025001-65050000,0.62664
BhD1,65050001-65075000,0.5094
BhD1,65075001-65100000,0.5946
BhD1,65100001-65125000,0.2678
BhD1,65125001-65150000,0.36168
BhD1,65150001-65175000,0.77848
BhD1,65175001-65200000,0.78044
BhD1,65200001-65225000,0.57152
BhD1,65225001-65250000,0.65852
BhD1,65250001-65275000,0.07624
BhD1,65275001-65300000,0.6754
BhD1,65300001-65325000,0.50148
BhD1,65325001-65350000,0.42312
BhD1,65350001-65375000,0.29964
BhD1,65375001-65400000,0.65468
BhD1,65400001-65425000,0.41756
BhD1,65425001-65450000,0.46384
BhD1,65450001-65475000,0.51952
BhD1,65475001-65500000,0.64256
BhD1,65500001-65525000,0.34584
BhD1,65525001-65550000,0.71024
BhD1,65550001-65575000,0.42468
BhD1,65575001-65600000,0.56248
BhD1,65600001-65625000,0.5658
BhD1,65625001-65650000,0.06048
BhD1,65650001-65675000,0.2842
BhD1,65675001-65700000,0.25976
BhD1,65700001-65725000,0.01572
BhD1,65725001-65750000,0.43176
BhD1,65750001-65775000,0.34264
BhD1,65775001-65800000,0.44136
BhD1,65800001-65825000,0.34448
BhD1,65825001-65850000,0.26912
BhD1,65850001-65875000,0.2958
BhD1,65875001-65900000,0.5394
BhD1,65900001-65925000,0.2698
BhD1,65925001-65950000,0.82912
BhD1,65950001-65975000,0.40004
BhD1,65975001-66000000,0.43952
BhD1,66000001-66025000,0.59696
BhD1,66025001-66050000,0.7066
BhD1,66050001-66075000,0.6166
BhD1,66075001-66100000,0.3484
BhD1,66100001-66125000,0.22972
BhD1,66125001-66150000,0.32192
BhD1,66150001-66175000,0.54252
BhD1,66175001-66200000,0.4816
BhD1,66200001-66225000,0.42188
BhD1,66225001-66250000,0.9252
BhD1,66250001-66275000,0.59892
BhD1,66275001-66300000,0.47396
BhD1,66300001-66325000,0.33408
BhD1,66325001-66350000,0.45056
BhD1,66350001-66375000,0.6904
BhD1,66375001-66400000,0.70496
