Chromosome,Bin,geneDensity
BhD1,4525001-4550000,0.77688
BhD1,4550001-4575000,0.7474
BhD1,4575001-4600000,0.5964
BhD1,4600001-4625000,0.54044
BhD1,4625001-4650000,0.39132
BhD1,4650001-4675000,0.456
BhD1,4675001-4700000,0.3238
BhD1,4700001-4725000,0.26384
BhD1,4725001-4750000,0.27284
BhD1,4750001-4775000,0.51412
BhD1,4775001-4800000,0.59664
BhD1,4800001-4825000,0.515
BhD1,4825001-4850000,0.6106
BhD1,4850001-4875000,0.53252
BhD1,4875001-4900000,0.35904
BhD1,4900001-4925000,0.76628
BhD1,4925001-4950000,0.50064
BhD1,4950001-4975000,0.43432
BhD1,4975001-5000000,0.66684
BhD1,5000001-5025000,0.43176
BhD1,5025001-5050000,0.68816
BhD1,5050001-5075000,0.3258
BhD1,5075001-5100000,0.33728
BhD1,5100001-5125000,0.28784
BhD1,5125001-5150000,0.729
BhD1,5150001-5175000,0.63164
BhD1,5175001-5200000,0.56256
BhD1,5200001-5225000,0.49748
BhD1,5225001-5250000,0.52516
BhD1,5250001-5275000,0.72312
BhD1,5275001-5300000,0.69456
BhD1,5300001-5325000,0.58744
BhD1,5325001-5350000,0.55612
BhD1,5350001-5375000,0.6812
BhD1,5375001-5400000,0.54692
BhD1,5400001-5425000,0.88144
BhD1,5425001-5450000,0.58096
BhD1,5450001-5475000,0.63992
BhD1,5475001-5500000,0.13896
BhD1,5500001-5525000,0.42268
BhD1,5525001-5550000,0.4446
BhD1,5550001-5575000,0.76828
BhD1,5575001-5600000,0.60684
BhD1,5600001-5625000,0.57316
BhD1,5625001-5650000,0.6242
BhD1,5650001-5675000,0.58372
BhD1,5675001-5700000,0.78016
BhD1,5700001-5725000,0.75412
BhD1,5725001-5750000,0.79808
BhD1,5750001-5775000,0.64656
BhD1,5775001-5800000,0.42584
BhD1,5800001-5825000,0.63076
BhD1,5825001-5850000,0.20108
BhD1,5850001-5875000,0.32496
BhD1,5875001-5900000,0.44184
BhD1,5900001-5925000,0.93864
BhD1,5925001-5950000,0.67896
BhD1,5950001-5975000,0.4142
BhD1,5975001-6000000,0.1344
BhD1,6000001-6025000,0.1048
BhD1,6025001-6050000,0.6012
BhD1,6050001-6075000,0.49628
BhD1,6075001-6100000,0.03076
BhD1,6100001-6125000,0.49116
BhD1,6125001-6150000,0.42396
BhD1,6150001-6175000,0.57692
BhD1,6175001-6200000,0.17352
BhD1,6200001-6225000,0.43536
BhD1,6225001-6250000,0.26284
BhD1,6250001-6275000,0.62548
BhD1,6275001-6300000,0.84508
BhD1,6300001-6325000,0.79284
BhD1,6325001-6350000,0.84168
BhD1,6350001-6375000,0.36044
BhD1,6375001-6400000,0.66312
BhD1,6400001-6425000,0.5392
BhD1,6425001-6450000,0.77836
BhD1,6450001-6475000,0.1932
BhD1,6475001-6500000,0.70744
BhD1,6500001-6525000,0.18416
BhD1,6525001-6550000,0.2172
BhD1,6550001-6575000,0.69344
BhD1,6575001-6600000,0.43424
BhD1,6600001-6625000,0.1736
BhD1,6625001-6650000,0.3486
BhD1,6650001-6675000,0.82324
BhD1,6675001-6700000,0.59068
BhD1,6700001-6725000,0.4536
BhD1,6725001-6750000,0.52536
BhD1,6750001-6775000,0.91144
BhD1,6775001-6800000,0.6144
BhD1,6800001-6825000,0.18752
BhD1,6825001-6850000,0.42916
BhD1,6850001-6875000,0.55228
BhD1,6875001-6900000,0.5276
BhD1,6900001-6925000,0.622
BhD1,6925001-6950000,0.27584
BhD1,6950001-6975000,0.70424
BhD1,6975001-7000000,0.46164
BhD1,7000001-7025000,0.50244
BhD1,7025001-7050000,0.46184
BhD1,7050001-7075000,0.48772
BhD1,7075001-7100000,0.63984
BhD1,7100001-7125000,0.5074
BhD1,7125001-7150000,0.73248
BhD1,7150001-7175000,0.074
BhD1,7175001-7200000,0.29756
BhD1,7200001-7225000,0.55048
BhD1,7225001-7250000,0.66848
BhD1,7250001-7275000,0.5584
BhD1,7275001-7300000,0.62652
BhD1,7300001-7325000,0.28268
BhD1,7325001-7350000,0.49964
BhD1,7350001-7375000,0.66912
BhD1,7375001-7400000,0.5602
BhD1,7400001-7425000,0.29536
BhD1,7425001-7450000,0.35436
BhD1,7450001-7475000,0.2376
BhD1,7475001-7500000,0.40416
BhD1,7500001-7525000,0.60536
BhD1,7525001-7550000,0.38652
BhD1,7550001-7575000,0.70288
BhD1,7575001-7600000,0.78408
BhD1,7600001-7625000,0.4042
BhD1,7625001-7650000,0.7414
BhD1,7650001-7675000,0.4004
BhD1,7675001-7700000,0.218
BhD1,7700001-7725000,0.07224
BhD1,7725001-7750000,0.02908
BhD1,7750001-7775000,0.09876
BhD1,7775001-7800000,0.04632
BhD1,7800001-7825000,0.54144
BhD1,7825001-7850000,0.28588
BhD1,7850001-7875000,0.27972
BhD1,7875001-7900000,0.62376
BhD1,7900001-7925000,0.5644
BhD1,7925001-7950000,0.52868
BhD1,7950001-7975000,0.3462
BhD1,7975001-8000000,0.41544
BhD1,8000001-8025000,0.27492
BhD1,8025001-8050000,0.45332
BhD1,8050001-8075000,0.06184
BhD1,8075001-8100000,0.58692
BhD1,8100001-8125000,0.68996
BhD1,8125001-8150000,0.35336
BhD1,8150001-8175000,0.16908
BhD1,8175001-8200000,0.72768
BhD1,8200001-8225000,0.66196
BhD1,8225001-8250000,0.65104
BhD1,8250001-8275000,0.37316
BhD1,8275001-8300000,0.6722
BhD1,8300001-8325000,0.73636
BhD1,8325001-8350000,0.34532
BhD1,8350001-8375000,0.52608
BhD1,8375001-8400000,0.57332
BhD1,8400001-8425000,0.47292
BhD1,8425001-8450000,0.46552
BhD1,8450001-8475000,0.73504
BhD1,8475001-8500000,0.53504
BhD1,8500001-8525000,0.31444
BhD1,8525001-8550000,0.37084
BhD1,8550001-8575000,0.62528
BhD1,8575001-8600000,0.57048
BhD1,8600001-8625000,0.66452
BhD1,8625001-8650000,0.38928
BhD1,8650001-8675000,0.642
BhD1,8675001-8700000,0.1758
BhD1,8700001-8725000,0.66692
BhD1,8725001-8750000,0.65628
BhD1,8750001-8775000,0.63512
BhD1,8775001-8800000,0.62452
BhD1,8800001-8825000,0.29012
BhD1,8825001-8850000,0.52076
BhD1,8850001-8875000,0.64212
BhD1,8875001-8900000,0.5516
BhD1,8900001-8925000,0.63892
BhD1,8925001-8950000,0.2888
BhD1,8950001-8975000,0.57512
BhD1,8975001-9000000,0.4384
BhD1,9000001-9025000,0.54452
BhD1,9025001-9050000,0.82612
BhD1,9050001-9075000,0.57208
BhD1,9075001-9100000,0.5912
BhD1,9100001-9125000,0.46736
BhD1,9125001-9150000,0.26144
BhD1,9150001-9175000,0.22432
BhD1,9175001-9200000,0.66372
BhD1,9200001-9225000,0.3802
BhD1,9225001-9250000,0.6802
BhD1,9250001-9275000,0.35392
BhD1,9275001-9300000,0.23788
BhD1,9300001-9325000,0.30416
BhD1,9325001-9350000,0.52752
BhD1,9350001-9375000,0.23312
BhD1,9375001-9400000,0.62076
BhD1,9400001-9425000,0.5676
BhD1,9425001-9450000,0.50328
BhD1,9450001-9475000,0.33712
BhD1,9475001-9500000,0.49908
BhD1,9500001-9525000,0.56024
BhD1,9525001-9550000,0.13644
BhD1,9550001-9575000,0.2778
BhD1,9575001-9600000,0.2174
BhD1,9600001-9625000,0.58836
BhD1,9625001-9650000,0.38076
BhD1,9650001-9675000,0.59924
BhD1,9675001-9700000,0.35632
BhD1,9700001-9725000,0.53004
BhD1,9725001-9750000,0.2548
BhD1,9750001-9775000,0.23808
BhD1,9775001-9800000,0.13964
BhD1,9800001-9825000,0.5478
BhD1,9825001-9850000,0.72196
BhD1,9850001-9875000,0.5618
BhD1,9875001-9900000,0.50108
BhD1,9900001-9925000,0.4046
BhD1,9925001-9950000,0.18204
BhD1,9950001-9975000,0.33724
BhD1,9975001-10000000,0.05868
BhD1,10000001-10025000,0.22424
BhD1,10025001-10050000,0
BhD1,10050001-10075000,0
BhD1,10075001-10100000,0.62624
BhD1,10100001-10125000,0.62248
BhD1,10125001-10150000,0.42448
BhD1,10150001-10175000,0.56564
BhD1,10175001-10200000,0.41396
BhD1,10200001-10225000,0.55512
BhD1,10225001-10250000,0.67588
BhD1,10250001-10275000,0.35488
BhD1,10275001-10300000,0.1132
BhD1,10300001-10325000,0.47928
BhD1,10325001-10350000,0.246
BhD1,10350001-10375000,0.60584
BhD1,10375001-10400000,0.248
BhD1,10400001-10425000,0.34664
BhD1,10425001-10450000,0.19672
BhD1,10450001-10475000,0.587
BhD1,10475001-10500000,0.59896
BhD1,10500001-10525000,0.69756
BhD1,10525001-10550000,0.17912
BhD1,10550001-10575000,0.27076
BhD1,10575001-10600000,0
BhD1,10600001-10625000,0.5964
BhD1,10625001-10650000,0.42172
BhD1,10650001-10675000,0.47356
BhD1,10675001-10700000,0.45352
BhD1,10700001-10725000,0.25792
BhD1,10725001-10750000,0.45116
BhD1,10750001-10775000,0.35892
BhD1,10775001-10800000,0.34384
BhD1,10800001-10825000,0.52208
BhD1,10825001-10850000,0.42956
BhD1,10850001-10875000,0.22776
BhD1,10875001-10900000,0.67732
BhD1,10900001-10925000,0.01052
BhD1,10925001-10950000,0.2614
BhD1,10950001-10975000,0.2584
BhD1,10975001-11000000,0.7504
BhD1,11000001-11025000,0.64364
BhD1,11025001-11050000,0.6476
BhD1,11050001-11075000,0.46224
BhD1,11075001-11100000,0.55048
BhD1,11100001-11125000,0.42276
BhD1,11125001-11150000,0.45092
BhD1,11150001-11175000,0.2348
BhD1,11175001-11200000,0.34228
BhD1,11200001-11225000,0.367
BhD1,11225001-11250000,0.15416
BhD1,11250001-11275000,0.28888
BhD1,11275001-11300000,0.41008
BhD1,11300001-11325000,0.681
BhD1,11325001-11350000,0.76748
BhD1,11350001-11375000,0.67764
BhD1,11375001-11400000,0.62448
BhD1,11400001-11425000,0.44056
BhD1,11425001-11450000,0
BhD1,11450001-11475000,0.46824
BhD1,11475001-11500000,0
BhD1,11500001-11525000,0.35148
BhD1,11525001-11550000,0.22884
BhD1,11550001-11575000,0.22812
BhD1,11575001-11600000,0.267
BhD1,11600001-11625000,0.2236
BhD1,11625001-11650000,0.69508
BhD1,11650001-11675000,0.74332
BhD1,11675001-11700000,0.637
BhD1,11700001-11725000,0.43004
BhD1,11725001-11750000,0.59028
BhD1,11750001-11775000,0.36036
BhD1,11775001-11800000,0.40204
BhD1,11800001-11825000,0.60244
BhD1,11825001-11850000,0.47948
BhD1,11850001-11875000,0.6784
BhD1,11875001-11900000,0.24856
BhD1,11900001-11925000,0.2672
BhD1,11925001-11950000,0.62532
